assessment cdm type,Type,map category,csv key,Korean_Context,English_Context,semantic_allowed,Format/Range,0,1,2,3,4,5,6,7,8,9,10,11
Basic,B,general,Hospital_ID,병원 개인식별번호 8자리 '등록 번호' '병록 번호',Hospi. No.' 'ID',0,12345678,,,,,,,,,,,,
Basic,B,general,Name,"성명, 이름",Name,1,홍길동,,,,,,,,,,,,
Basic,B,general,PSG_Date,"PSG 실시일, '검사일'",Date' 'Study date',1,YYYYMMDD,,,,,,,,,,,,
Basic,B,general,PSG_No,PSG 고유번호,Test No.' 'Sleep Study Number' 'PSG#',1,P(year)-(nnn),,,,,,,,,,,,
Basic,B,general,PSG_Type,PSG 실시 종류,,1,"P, PE, C, SP, M",,P (PSG),PE (PSG+routine EEG),C (CPAP),SP (Split night),M (MSLT),,,,,,
Basic,B,general,Database_ID,Database 고유번호 : (Lab_ID)_(PSG_Date)_(PSG_No)_(PSG_Type),,1,001_YYYYMMDD_001_P,,,,,,,,,,,,
Demographics,B,general,SEX,성별,Sex',1,0-1,0. Male,1. Female,,,,,,,,,,
Demographics,B,general,AGE,"연령, 나이",Age',1,10-100 (warning),,,,,,,,,,,,
Demographics,B,general,Height_cm,"키, 신장 (cm)",Height' (cm),0,100-200 (warning),,,,,,,,,,,,
Demographics,B,general,Weight_kg,"몸무게, 체중 (Kg)",Weight' (Kg),0,20-150 (warning),,,,,,,,,,,,
Demographics,B,general,BMI,Body Mass Index (Kg/m2),Body Mass Index (Kg/m2),0,1-100,,,,,,,,,,,,
Demographics,B,general,Neckcir_cm,목둘레 (cm),Neck Circumference' (cm),0,1-100,,,,,,,,,,,,
Demographics,B,general,Occupation,직업 : 서술식,Occupation',1,Text 서술식,,,,,,,,,,,,
Demographics,B,general,Shiftwork,교대 근무를 합니까?,Are you a shift worker?',1,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_CVA,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 뇌졸중,Personal Medical History - 'Stroke',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Parkinson,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 파킨슨씨 병,Personal Medical History - 'Parkinson’s disease',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_PNS,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 말초 신경질환,Personal Medical History - 'Peripheral neuropathy' / 'Peripheral nerve disease',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Epilepsy,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 경련성 질환,Personal Medical History - 'Seizures/Epilespy',0,0-1,No,Yes,,,,,,,,,,
